code,name,industry,lianban,prev_close,prev_pct,amplitude,turnover,volume_ratio,ma20,above_ma20,ma_bullish,vol_ok,is_finance,passed,total,failed
605068,明新旭腾,汽车零部,1,17.71,1.66,2.18,2.15,0.96,19.02,False,False,False,False,6,7,振幅>3%
003040,楚天龙,通信设备,1,18.5,-1.23,10.2,28.41,1.96,13.15,True,True,True,False,7,7,
000998,隆平高科,种植业,1,9.25,1.65,4.18,5.1,1.09,8.56,True,True,True,False,7,7,
603293,埃泰克,汽车零部,1,35.92,1.04,2.05,4.2,1.66,36.28,False,False,True,False,6,7,振幅>3%
002015,协鑫能科,电力,1,16.01,-4.25,5.38,7.77,1.0,15.56,True,False,True,False,7,7,
601566,九牧王,服装家纺,1,8.4,0.36,1.31,0.88,1.16,8.47,False,False,True,False,5,7,"振幅>3%,换手率>2%"
600792,云煤能源,焦炭Ⅱ,1,3.96,1.8,3.6,1.88,0.76,3.7,True,True,False,False,5,7,"换手率>2%,量比>=0.8"
000596,古井贡酒,白酒Ⅱ,1,93.9,1.88,3.88,0.94,1.17,93.72,True,False,False,False,5,7,"价格2-50元,换手率>2%"
603207,小方制药,化学制药,1,23.25,-1.27,1.78,4.0,0.61,23.45,False,False,False,False,5,7,"振幅>3%,量比>=0.8"
300927,江天化学,化学原料,1,31.44,2.04,12.33,18.31,1.1,24.68,True,True,True,False,7,7,
001330,博纳影业,影视院线,2,5.1,-0.2,2.54,3.39,0.68,5.07,True,False,False,False,5,7,"振幅>3%,量比>=0.8"
600967,内蒙一机,地面兵装,1,11.1,-1.16,1.69,1.29,1.61,11.36,False,False,True,False,5,7,"振幅>3%,换手率>2%"
002291,遥望科技,广告营销,1,5.2,0.39,1.54,2.28,1.26,5.42,False,False,False,False,6,7,振幅>3%
600318,新力金融,多元金融,1,6.88,-0.86,2.45,2.92,1.06,6.59,True,True,True,False,6,7,振幅>3%
002349,精华制药,中药Ⅱ,1,7.89,10.04,11.02,5.19,2.73,7.0,True,True,True,False,6,7,涨幅-5%到10%
920895,花溪科技,专用设备,1,21.12,29.97,36.55,38.17,5.9,13.35,True,True,True,False,6,7,涨幅-5%到10%
002107,沃华医药,中药Ⅱ,1,7.23,10.05,11.57,5.43,2.75,6.29,True,True,True,False,6,7,涨幅-5%到10%
000965,天保基建,房地产开,1,3.29,2.49,4.36,1.87,1.44,3.18,True,True,True,False,6,7,换手率>2%
002133,广宇集团,房地产开,1,2.82,1.44,3.24,1.52,0.97,2.7,True,True,True,False,6,7,换手率>2%
000011,深物业A,房地产开,2,9.15,9.98,10.7,2.3,1.96,8.2,True,True,True,False,7,7,
002375,亚厦股份,装修装饰,1,3.7,0.54,1.63,0.79,0.9,3.61,True,True,False,False,5,7,"振幅>3%,换手率>2%"
002886,沃特股份,塑料,3,26.4,10.0,0.0,2.03,0.15,20.44,True,True,True,False,5,7,"振幅>3%,量比>=0.8"
002098,浔兴股份,纺织制造,1,7.41,1.79,2.75,1.0,1.12,7.01,True,True,True,False,5,7,"振幅>3%,换手率>2%"
000712,锦龙股份,证券Ⅱ,4,11.8,9.97,0.0,1.69,0.41,9.37,True,True,True,False,4,7,"振幅>3%,换手率>2%,量比>=0.8"
002534,西子洁能,其他电源,1,15.02,-0.53,3.31,1.07,1.2,15.45,False,False,False,False,6,7,换手率>2%
002169,智光电气,电网设备,1,12.19,-0.81,2.12,1.58,0.85,12.61,False,False,False,False,5,7,"振幅>3%,换手率>2%"
600691,潞化科技,农化制品,2,2.94,10.11,10.86,3.41,2.22,2.54,True,True,True,False,6,7,涨幅-5%到10%
001221,悍高集团,家居用品,1,37.52,-1.91,1.8,3.0,0.82,39.97,False,False,True,False,6,7,振幅>3%
601882,海天精工,通用设备,1,19.92,-0.6,2.3,0.95,1.12,20.16,False,False,True,False,5,7,"振幅>3%,换手率>2%"
600110,诺德股份,电池,1,10.94,-5.69,4.4,12.39,0.86,10.31,True,True,True,False,6,7,涨幅-5%到10%
